OBJECTID,CommunityId,CommunityName,CommunityTypeName,CommunityTypeID,CommunityAreaTypeName,CommunityAreaTypeID,StartDate,EndDate,IsActive,Comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y,x_auxmerc,y_auxmerc,StatePlaneZone,AltStatePlaneZone,RODistrictNumber,RODistrictName,AltRODistrictNumber,AltRODistrictName
1485,{3D32B916-2AAC-4B36-A357-1CCB20E08A73},Petersburg Borough,Non-Unified Home Rule Borough,4,Community,1,2017/10/16 08:00:00+00,,1,,{E7C3CD9A-9538-411F-BF8E-7E67D9B1F0AE},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-132.95776302,56.8109592,-14800790.4763991,7721578.12677657,,,,,,
1486,{BF799AFC-92DA-47A3-89EF-4BB1B31FDE2B},Yakutat,Non-Unified Home Rule Borough,4,Community,1,2017/10/16 08:00:00+00,,1,,{B4D9A3F1-229E-41F6-B505-289F390DAF87},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-139.75003244,59.5587609,-15556902.4498982,8302149.31659159,,,101,Juneau,,
1487,{41989645-CCA3-466B-9817-909C7EBD3FF1},Anchorage,Unified Home Rule Borough,5,Community,1,2017/10/16 08:00:00+00,,1,,{757C252E-3B2E-47AA-9B70-FA137DD7AC64},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-149.89484742,61.21627757,-16686218.0875525,8675653.72291914,,,301,Anchorage,,
1488,{E5B6208B-DD7F-4DBA-951C-0C5D616E79BF},Juneau,Unified Home Rule Borough,5,Community,1,2017/10/16 08:00:00+00,,1,,{42C02111-2C20-4F0A-A61D-48864438FC93},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-134.40663973,58.29983971,-14962078.6937559,8030570.02206249,,,101,Juneau,,
1489,{99E9981F-255D-4678-9D2E-704DC07798D6},Sitka,Unified Home Rule Borough,5,Community,1,2017/10/16 08:00:00+00,,1,,{E461BFAC-0755-4C1F-899E-596A1DFA5616},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-135.33862304,57.04902126,-15065826.601253,7770144.80039453,,,103,Sitka,,
1490,{587C69F7-2A28-4CEE-BA2C-1A7F7DCCBED1},Wrangell,Unified Home Rule Borough,5,Community,1,2017/10/16 08:00:00+00,,1,,{97B25168-724E-4AD7-A7DC-C591BD62C8DA},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-132.3836088,56.470404,-14736875.9211033,7652635.44015356,,,104,Wrangell,,
1491,{8CE0B6D0-3B5A-4A3B-A0FF-CF88A52A2F48},Big Salt,Unincorporated,13,Community,1,2017/10/16 08:00:00+00,,1,,{87ED992F-D505-4DA0-95DF-16C87538D69F},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-133.08464582,55.55743278,-14814915.0048629,7470812.81883277,5001,,102,Ketchikan,,
1492,{B2ABA72D-670E-40F3-92D0-454C259DF94A},Razdolna Village,Locality,10,Community,1,2017/10/16 08:00:00+00,,1,,{48227560-6035-4A53-B41E-2A0428573DAC},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-151.08274455,59.81272421,-16818454.1907336,8358160.50639541,5004,,309,Homer,,
1493,{AC412614-F26A-44A1-AF0C-6818321D60A5},Ptarmigan Heights,Locality,10,Community,1,2017/10/16 08:00:00+00,,1,,{2057917B-520C-4E59-B41D-A8914A5DEB1F},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-147.95294354,64.81574416,-16470046.3367954,9560004.22559139,5003,5004,401,Fairbanks,,
1494,{F4459E94-16D4-4F7F-B434-DF84BF0E2AD9},Ester Dome,Locality,10,Community,1,2017/10/16 08:00:00+00,,1,,{613377F3-A9F2-4329-B776-6972C88324B6},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-148.05533185,64.87934173,-16481444.1507711,9576661.12281738,5004,,401,Fairbanks,,
1495,{B043E26D-53A6-4E96-8A4B-7A5E4AE142C0},Haystack,Locality,10,Community,1,2017/10/16 08:00:00+00,,1,,{D7CBBFA7-0874-4E80-A539-0C4167591C3B},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-147.62855218,65.12272229,-16433935.2551145,9640771.58949023,5003,,401,Fairbanks,,
1496,{42DB4ABE-BFBA-4450-A725-03EE74F34A74},Kachemak Selo,Locality,10,Community,1,2017/10/16 08:00:00+00,,1,,{A690B20E-6402-4681-8F1C-4FDA61767D09},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-151.07407142,59.79466893,-16817488.7024297,8354164.38804132,5004,,309,Homer,,
1497,{FBFAC70C-D19A-4FF1-A28E-2E8381629304},Klehini Valley,Locality,10,Community,1,2017/10/16 08:00:00+00,,1,,{7D5B0E14-3261-4FBA-9BD6-42F09E34B7F1},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-136.13227706,59.4280005,-15154175.763182,8273474.93583164,5001,,106,Haines,,
1498,{EDA8ED1A-C25C-4FF0-8681-021AAF1072C9},Palmer,Home Rule City,6,Community,1,2017/10/16 08:00:00+00,,1,,{D0DDE81D-242E-4375-8362-2CD9AE346C32},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-149.11775808,61.59970576,-16599712.8974775,8764843.81359529,5004,,311,Palmer,,
1499,{86E9E60C-762A-4D26-A7CC-57DC74916D5B},Seward,Home Rule City,6,Community,1,2017/10/16 08:00:00+00,,1,,{3C96DD77-D2C8-499C-9D5E-76DC8577C92C},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-149.43922421,60.10312795,-16635498.343599,8422734.06749095,5004,,314,Seward,,
1500,{D7CCEBD6-7236-44C6-9E78-19F98183CFFC},Soldotna,Home Rule City,6,Community,1,2017/10/16 08:00:00+00,,1,,{E6804943-AB1F-4E65-832E-CE414B9522CD},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-151.06585198,60.49044721,-16816573.7192222,8509749.46241112,5004,,302,Kenai,,
1501,{BDF957A0-FB1E-48AC-835A-A24FB2DFE444},Valdez,Home Rule City,6,Community,1,2017/10/16 08:00:00+00,,1,,{D2C2273D-A08E-4A77-87FD-35851CF4B331},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-146.35508078,61.13023788,-16292173.0672154,8655789.26258689,5003,,318,Valdez,,
1502,{179D4B3A-A5AC-43B1-9AE0-6F7B6B7A3CB3},Metlakatla,Indian reservation organized under federal law,9,Community,1,2017/10/16 08:00:00+00,,1,,{2217D8FD-0B96-415E-ADD1-883158E2502E},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-131.57330705,55.12607391,-14646673.5424591,7386373.0340335,5001,,102,Ketchikan,,
1503,{02BC7C57-294A-400A-A4A4-7D06347BBF7D},Chatanika,Locality,10,Community,1,2017/10/16 08:00:00+00,,1,,{BA1FBDA4-751B-4041-A58D-8D590A828589},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-147.47918906,65.11086938,-16417308.2288754,9637635.76624159,5003,,401,Fairbanks,,
1504,{7DF47FFB-F5ED-4B9D-A9F7-4B2DA1E989D1},Chena Hot Springs,Locality,10,Community,1,2017/10/16 08:00:00+00,,1,,{130FBB94-EEFF-430D-9D02-4332B56BF7AE},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-146.05833204,65.05249638,-16259139.1492529,9622212.88946404,5003,,401,Fairbanks,,
1505,{8D61F020-CB6F-45AE-85C5-2086F72C61F4},Dyea,Locality,10,Community,1,2017/10/16 08:00:00+00,,1,,{964C1C66-0DB5-43A3-A0CA-C91DEB2A1E12},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-135.3611485,59.48035687,-15068334.124324,8284942.81011762,5001,,111,Skagway,,
1506,{8CB3E4E0-D9F5-4B0C-93D8-C436A193A465},Nikolaevsk,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{2D9F4908-D478-436A-B808-48AA89F297CD},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-151.61311471,59.81132569,-16877494.7269881,8357850.89811094,5004,,309,Homer,,
1507,{95A8CBA5-6323-4734-AA72-89B097FBD56F},Ninilchik,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{0D81D4E2-A2DC-417B-87ED-B4C7621C3D53},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-151.67510116,60.04305213,-16884395.0269268,8409329.21584389,5004,,309,Homer,,
1508,{03C93982-6D21-4D8C-B2D5-1090F45A812A},Noatak,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{840AB66C-4874-44A3-B2EF-F74FECCF58D1},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-162.98850003,67.5718168,-18143796.8286104,10320918.1028848,5007,,215,Kotzebue,,
1509,{EC18C954-9E22-45E3-BD54-DD7AF4302791},Pedro Bay,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{FA73AA62-1C04-4807-ADE0-93BF0BB40F81},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-154.09956667,59.78824382,-17154285.2929459,8352742.85902232,5005,,320,Iliamna,,
1510,{4C04DC5F-DBC0-42D6-BFF7-62C40E838EAA},Perryville,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{A023CEA9-45D3-4A75-813B-003D3FB0CA7B},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-159.14339251,55.91158561,-17715761.416882,7540834.94765662,5006,,305,Aleutian Islands,,
1511,{841E8B3A-9424-4243-B588-EEB808D195AB},Petersville,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{9234580A-33AE-4153-98C6-198ED42A7C3D},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-150.76790264,62.49649645,-16783406.1501886,8977841.72474573,5004,,321,Talkeetna,,
1512,{5DF24C5B-4FE5-4FFA-AE4F-CBDF97ACB787},Pleasant Valley,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{322CC8F0-9210-48D3-AA3A-3EF4D6F078FC},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-146.85516397,64.87771785,-16347842.0739484,9576235.32016767,5003,,401,Fairbanks,,
1513,{ACCCEEDB-EFD5-4240-87ED-B1D77CEB08B8},Point Lay,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{B866D605-46AE-4968-8ED5-FDABF97212C1},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-163.00913774,69.74312289,-18146094.2078674,10985618.6862481,5007,,413,Barrow,,
1514,{5736B8FC-BE6B-44A6-8A67-0A66F497EDC5},Point MacKenzie,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{8959A0A2-D396-4385-AE4A-4D71DB60F155},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-150.0108417,61.35518649,-16699130.5119596,8707839.29968711,5004,,311,Palmer,,
1515,{2C14D0F5-3E1B-4BEC-ABCB-6AEED5368B0C},Port Alsworth,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{F3DEDFDF-3694-4F58-9CF5-E363790CF87F},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-154.32808373,60.19602229,-17179723.69548,8443509.99769365,5005,,320,Iliamna,,
1516,{21416EC2-769C-45C8-9643-767865EF7130},Port Graham,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{EEAE1150-1A0D-4F0D-976B-5362661D307D},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-151.83172437,59.35156193,-16901830.2430217,8256764.0324507,5004,,313,Seldovia,,
1517,{52520FE3-9874-4E97-BFD4-38DEE36B1FFD},Primrose,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{22B81B8B-8375-46BA-A8AB-120A8A80EA6C},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-149.35258984,60.35763118,-16625854.2494228,8479794.59008735,5004,,314,Seward,,
1518,{43789012-2A4F-4391-8762-748A33755153},Ridgeway,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{DC0820D8-8E73-43AC-AC5B-BCA0DFC8A006},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-151.08107415,60.53130471,-16818268.2429901,8518988.99464746,5004,,302,Kenai,,
1519,{2606EF00-243D-41F4-890F-E340AD1ACFA5},Salamatof,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{4F346655-510E-4D80-B6FA-DD76BCEE88B8},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-151.3334305,60.61773773,-16846360.4237045,8538573.48551882,5004,,302,Kenai,,
1520,{3AAD6031-4B4D-40A2-86B3-B59C6AE4046D},Salcha,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{71307FAE-DC7A-4EFD-8C7E-95277FB131F8},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-146.97720965,64.48242457,-16361428.1365655,9473341.78828841,5003,,401,Fairbanks,,
1521,{87E87454-91AC-49AF-B812-E5B5DF65D0C8},Seldovia Village,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{7E0592EF-CB3E-4668-9354-262E40661D94},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-151.64995402,59.47434528,-16881595.6604411,8283625.15742751,5004,,313,Seldovia,,
1522,{8C659093-914F-41E2-BE61-E3576613F3BC},South Naknek,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{6BF014DB-1ACC-44A1-869B-B8579A8CC278},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-157.00692435,58.71326678,-17477930.8702166,8118669.23946321,5006,,310,Kvichak,,
1523,{DC7B95CA-114F-4D3E-95BE-B7965D32E2EF},Sterling,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{8A51F983-4C0B-46F4-85E3-5FB75C3C4424},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-150.79703641,60.53702908,-16786649.3061846,8520284.43898784,5004,,302,Kenai,,
1524,{42EFB0E5-DFC0-4003-A9E2-0CA2A1F23F56},Susitna,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{5F53C7E6-C488-4E80-8B46-AFEB4B4935BA},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-150.63388448,61.49836623,-16768487.3163038,8741164.29201236,5004,,301,Anchorage,,
1525,{126A149F-F9BD-42EC-8D66-E4883B8016E2},Sutton-Alpine,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{56A403FD-17F8-4CB5-ACC4-41CD2E4493D2},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-148.8773404,61.70959159,-16572949.7240962,8790607.99952188,5004,,311,Palmer,,
1526,{3EC46053-F188-4C9A-B758-A0D57EF8F834},Talkeetna,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{FE84FC20-6BFF-4C64-8337-759FF39410FE},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-150.11199934,62.32317025,-16710391.3289343,8936181.57566601,5004,,321,Talkeetna,,
1527,{68659E20-597A-4214-97E4-BE2A722B888B},Trapper Creek,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{D0520AC6-808D-431B-B781-9E04FE00DB81},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-150.2337668,62.31623367,-16723946.420688,8934519.32735454,5004,,321,Talkeetna,,
1528,{2416B7D2-6E1E-47A0-8550-530D41B50117},Two Rivers,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{C35A9E99-FF90-481D-98FF-9AA4BD96DB8E},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-147.03838828,64.87728553,-16368238.5102819,9576121.96361816,5003,,401,Fairbanks,,
1529,{961296AC-3BF0-47EF-AA6B-7D67C6031EDD},Tyonek,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{F7E6FEFC-8072-40CD-8B4E-0AF9EADFB940},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-151.14339542,61.06808705,-16825205.8154774,8641473.78364105,5004,,301,Anchorage,,
1530,{60E92328-3CA2-4968-A065-270130CCEE76},Willow,CDP,11,Community,1,2017/10/16 08:00:00+00,,1,,{7DB5244E-C696-4D81-9BB2-18DB481EE4E1},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-150.04551523,61.74401444,-16702990.3514406,8798697.77507172,5004,,311,Palmer,,
1531,{3921BE55-50DD-4433-8958-D5D2F2D001AE},Cordova,Home Rule City,6,Community,1,2017/10/16 08:00:00+00,,1,,{8D0BC5A8-7B29-42EB-90F4-12AB486941D3},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-145.76017488,60.54406292,-16225948.4460254,8521876.53212947,5003,,306,Cordova,,
1532,{7102AFBB-6F0A-4C7A-92FF-6F5A6D66AB18},Fairbanks,Home Rule City,6,Community,1,2017/10/16 08:00:00+00,,1,,{FCE8CB40-AAED-4931-92AE-F9D6CA280E68},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-147.72124822,64.83969225,-16444254.1310859,9566271.87088456,5003,,401,Fairbanks,,
1533,{C4939227-7B0D-42C1-9C0D-69118EE45B96},Kenai,Home Rule City,6,Community,1,2017/10/16 08:00:00+00,,1,,{627F5CA3-3A41-4D53-809A-2E1922F93455},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-151.24880589,60.5590139,-16836940.0550994,8525261.80014671,5004,,302,Kenai,,
1534,{081D88E7-5D78-4E36-AC3C-F753262F026C},Ketchikan,Home Rule City,6,Community,1,2017/10/16 08:00:00+00,,1,,{4A132CFB-155B-4A84-BCF4-E5DC5CBEF9B9},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-131.64802329,55.34243333,-14654990.9162499,7428611.09414802,5001,,102,Ketchikan,,
1535,{98F61372-E8BA-41BD-8291-B2318BB0C9F0},Kodiak,Home Rule City,6,Community,1,2017/10/16 08:00:00+00,,1,,{023B1CBD-564E-4E13-9217-8306ED6C1A96},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-152.39748118,57.79300136,-16964810.0032464,7923958.71370175,5005,,303,Kodiak,,
1536,{3AC29D09-E0DD-4840-9E31-13F575B4BFF4},Nenana,Home Rule City,6,Community,1,2017/10/16 08:00:00+00,,1,,{F8D3C858-1A46-4439-8E1B-31E9A86764C2},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-149.09074136,64.56270921,-16596705.4106321,9494118.57909316,5004,,414,Nenana,,
1537,{CD260976-029D-40A9-8CC4-1ECF3F63EEFC},North Pole,Home Rule City,6,Community,1,2017/10/16 08:00:00+00,,1,,{138BE324-EC12-4BC5-9CA6-507224AD5D66},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-147.35149648,64.75490265,-16403093.5556691,9544105.931038,5003,,401,Fairbanks,,
1538,{CEDC63C2-3647-4702-B72B-D9E842E711FE},Shaktoolik,2nd Class City,8,Community,1,2017/10/16 08:00:00+00,,1,,{867C6422-506F-405A-9ADB-F0652342876E},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-161.19435626,64.3545557,-17944073.6571674,9440376.2922384,5007,,201,Nome,,
1539,{D1F96C65-49BF-4E7B-AA32-F9C4C50BB628},Shishmaref,2nd Class City,8,Community,1,2017/10/16 08:00:00+00,,1,,{8D77543F-F973-4B6C-9EBC-7644F1EAC06B},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-166.07076445,66.25510533,-18486912.9341124,9947017.19873905,5008,,201,Nome,,
1540,{9177B2E0-91EE-4644-A900-570CEA299846},Shungnak,2nd Class City,8,Community,1,2017/10/16 08:00:00+00,,1,,{D14DA5A9-638A-47DC-9A65-ABC131B7A835},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-157.13819049,66.8880443,-17492543.3497459,10124235.6567401,5006,,215,Kotzebue,,
1541,{28ACD99B-0BF6-4373-A5BA-4F063E34485C},Stebbins,2nd Class City,8,Community,1,2017/10/16 08:00:00+00,,1,,{38AB200A-0C73-4275-8175-ACE8768B1245},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-162.2914977,63.52380972,-18066206.884487,9229858.29627611,5007,,201,Nome,,
1542,{FABC6EB5-588F-4AD5-B3AB-A8511EBA408A},Teller,2nd Class City,8,Community,1,2017/10/16 08:00:00+00,,1,,{8479CE2B-4698-4E09-832B-87E98ED2F770},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-166.36520237,65.26295683,-18519689.6135483,9677978.83564969,5008,,201,Nome,,
