OBJECTID,CommunityId,CommunityName,CommunityTypeName,CommunityTypeID,CommunityAreaTypeName,CommunityAreaTypeID,StartDate,EndDate,IsActive,Comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y,x_auxmerc,y_auxmerc,StatePlaneZone,AltStatePlaneZone,RODistrictNumber,RODistrictName,AltRODistrictNumber,AltRODistrictName
1475,{7737E8B0-0AD4-44D1-B699-FF5E01E8AE3B},Petersburg Census Area,Census Area,15,Place of Interest,2,2018/06/05 08:00:00+00,,0,,{0DE75731-911E-4418-89EF-C9736E311CD9},GIS_OWNER_CDO,2018/06/06 03:17:37+00,GIS_OWNER_CDO,2022/07/28 01:43:29+00,-132.955447,56.812427,-14800532.6582321,7721876.6231104,,,,,,
1476,{47D3091E-8C06-4BC8-B4D6-CF0ECF3B0F54},Valdez-Cordova Census Area,Census Area,15,Place of Interest,2,2018/09/12 08:00:00+00,,0,,{62E1D974-EBD2-40BC-8A07-745B929A54DA},NULL,,GIS_OWNER_CDO,2022/07/28 01:43:29+00,-144.7607,61.4164,,,,,,,,
1477,{6D62EE8B-50A4-45AA-B5FF-ED2F1B4E8526},North Lakes,Locality,10,Community,1,2017/10/16 08:00:00+00,,0,,{CEED5636-A688-488C-BD7E-476C20073194},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2021/06/24 04:39:15+00,-149.30419826,61.60898749,-16620467.3233785,8767016.5004324,5004,,311,Palmer,,
1478,{FDDCFEFA-F60F-47BE-970D-A46C93D9794F},South Lakes,Locality,10,Community,1,2017/10/16 08:00:00+00,,0,,{5C10C35F-7D09-459C-AAFD-950183AF12A2},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2021/06/24 04:37:44+00,-149.30745346,61.57866284,-16620829.6909189,8759920.45220552,5004,,311,Palmer,,
1479,{08965FEC-CECD-4B69-9010-FEC9535D56A9},Lake and Peninsula Borough,Non-Unified Home Rule Borough,4,Community,1,2017/10/16 08:00:00+00,,1,,{0DE6B99F-31CA-4594-BB41-1D3B33D70EE4},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2021/09/25 07:18:40+00,-156.85663695,58.06229615,-17461200.9527081,7980415.41283284,,,,,,
1480,{E39576F3-5473-4050-AD4E-430B55770A08},Denali Borough,Non-Unified Home Rule Borough,4,Community,1,2017/10/16 08:00:00+00,,1,,{B117885A-236F-4B8B-BC78-E2E539AAB17C},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-149.00584489,63.87038443,-16587254.777931,9316925.80601147,,,,,,
1481,{2DA35656-FC1D-4370-A191-64BB54EB5787},North Slope Borough,Non-Unified Home Rule Borough,4,Community,1,2017/10/16 08:00:00+00,,1,,{1A76E4F2-F074-4C2B-B4DF-C7576C04D385},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-156.78243874,71.29234396,-17452941.2456418,11502979.9634856,,,,,,
1482,{EE7CEC95-7451-4BA9-B25F-B1C7F2362518},Haines Borough,Non-Unified Home Rule Borough,4,Community,1,2017/10/16 08:00:00+00,,1,,{1475BFB9-4B4E-4540-B24B-57F0DE358305},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2021/09/24 08:18:22+00,-135.44787598,59.23431397,-15077988.5827901,8231204.39941615,,,,,,
1483,{71833F98-63B0-41B7-8D06-F86C7A19B0BD},Voznesenka Village,Locality,10,Community,1,2017/10/16 08:00:00+00,,1,,{A620C98F-49D1-4398-B9CA-F2F0816202FD},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-151.09658113,59.79428478,-16819994.4717735,8354079.38838295,5004,,309,Homer,,
1484,{351F5989-A7A7-4518-A5E4-E67316B8C2DD},Northwest Arctic Borough,Non-Unified Home Rule Borough,4,Community,1,2017/10/16 08:00:00+00,,1,,{A7EE4130-7471-4B32-9A39-ACCEF59A100F},GIS_OWNER_CDO,2017/10/18 03:19:16+00,GIS_OWNER_CDO,2018/04/21 07:17:22+00,-162.60007774,66.89516583,-18100557.8568522,10126255.5868285,,,,,,
